일시,padding_F,padding_M
2019-06-14,0.8434,0.87674
2019-06-15,0.90317,1.09593
2019-06-16,1.16881,1.3657
2019-06-17,1.12896,1.22239
2019-06-18,1.1356,1.68605
2019-06-19,1.14224,1.26454
2019-06-20,0.9563,1.23925
2019-06-21,0.88989,0.96105
2019-06-22,1.05591,1.38256
2019-06-23,1.07584,1.35727
2019-06-24,0.99614,1.52588
2019-06-25,1.18209,1.34041
2019-06-26,1.22194,1.26454
2019-06-27,1.07584,1.37413
2019-06-28,0.9895,1.24768
2019-06-29,1.24186,1.40785
2019-06-30,1.20865,1.7282
2019-07-01,1.16217,1.20553
2019-07-02,1.3614,1.42471
2019-07-03,1.18209,1.52588
2019-07-04,1.18209,1.41628
2019-07-05,0.98286,1.26454
2019-07-06,1.2485,1.89681
2019-07-07,1.37468,1.87995
2019-07-08,1.14889,1.6439
2019-07-09,1.26842,1.20553
2019-07-10,1.23522,1.5596
2019-07-11,1.41453,1.52588
2019-07-12,1.2153,1.3657
2019-07-13,1.33483,1.71977
2019-07-14,1.71337,2.06541
2019-07-15,1.45437,1.69448
2019-07-16,1.40124,1.9221
2019-07-17,1.32155,1.61861
2019-07-18,1.42781,1.82094
2019-07-19,1.41453,1.67762
2019-07-20,1.58055,2.04855
2019-07-21,1.95245,2.24245
2019-07-22,1.60047,2.21716
2019-07-23,1.72665,2.02326
2019-07-24,2.15168,2.29303
2019-07-25,2.88882,3.43112
2019-07-26,2.31106,2.49536
2019-07-27,2.0255,2.24245
2019-07-28,2.32434,2.59652
2019-07-29,2.08527,2.21716
2019-07-30,2.08527,2.39419
2019-07-31,2.08527,2.10757
2019-08-01,2.27785,2.21716
2019-08-02,2.01886,2.27617
2019-08-03,2.15168,2.31832
2019-08-04,2.42396,2.73141
2019-08-05,2.6099,2.63024
2019-08-06,2.90875,3.09391
2019-08-07,2.80249,2.49536
2019-08-08,2.68295,2.66396
2019-08-09,2.92203,3.30467
2019-08-10,2.61654,2.98431
2019-08-11,3.1279,3.46484
2019-08-12,3.25408,2.91687
2019-08-13,4.46938,4.43432
2019-08-14,3.40018,3.6756
2019-08-15,4.70846,3.75147
2019-08-16,3.87833,3.22036
2019-08-17,3.65254,3.82734
2019-08-18,4.051,4.61136
2019-08-19,4.56235,4.51863
2019-08-20,4.02443,4.43432
2019-08-21,3.97131,4.16455
2019-08-22,3.9381,4.01281
2019-08-23,3.31385,3.53228
2019-08-24,4.13069,3.97909
2019-08-25,5.53194,4.957
2019-08-26,4.4893,5.20991
2019-08-27,4.60884,4.6788
2019-08-28,4.69517,4.63665
2019-08-29,4.98738,4.47647
2019-08-30,4.86784,4.33316
2019-08-31,4.42289,4.39217
2019-09-01,5.9304,5.92648
2019-09-02,5.57178,5.84218
2019-09-03,6.35542,7.4355
2019-09-04,5.2995,5.74945
2019-09-05,5.27958,5.20991
2019-09-06,4.88776,5.32793
2019-09-07,5.50537,5.65671
2019-09-08,5.89719,6.44073
2019-09-09,5.57843,6.60091
2019-09-10,4.55571,5.95177
2019-09-11,4.92097,6.1541
2019-09-12,5.13348,5.54712
2019-09-13,5.59835,5.66514
2019-09-14,6.25581,6.53346
2019-09-15,6.75388,8.04248
2019-09-16,7.39806,8.66632
2019-09-17,6.1894,7.01399
2019-09-18,5.89719,6.95498
2019-09-19,6.54801,7.30062
2019-09-20,6.47496,7.46922
2019-09-21,7.46447,8.85179
2019-09-22,10.37322,11.92041
2019-09-23,9.39699,8.86022
2019-09-24,10.22712,13.08379
2019-09-25,7.60393,9.80441
2019-09-26,6.85349,8.26167
2019-09-27,6.02337,7.79801
2019-09-28,5.61827,6.85381
2019-09-29,6.74724,7.93289
2019-09-30,5.90383,7.81487
2019-10-01,7.43126,9.67796
2019-10-02,6.53473,7.67998
2019-10-03,6.61442,7.87388
2019-10-04,6.29565,7.51981
2019-10-05,7.85628,9.33232
2019-10-06,9.92163,12.09745
2019-10-07,14.00584,16.48963
2019-10-08,15.51334,16.01753
2019-10-09,18.93345,20.35912
2019-10-10,19.64404,20.08936
2019-10-11,14.41758,17.29893
2019-10-12,13.189,15.0902
2019-10-13,13.85974,16.203
2019-10-14,16.2837,18.38644
2019-10-15,18.96002,23.29286
2019-10-16,19.39168,22.7196
2019-10-17,20.74644,23.84926
2019-10-18,16.01806,20.01348
2019-10-19,14.13866,15.89951
2019-10-20,16.32354,19.53296
2019-10-21,15.97821,20.68791
2019-10-22,13.61402,17.45911
2019-10-23,13.87302,16.98701
2019-10-24,13.8531,17.57713
2019-10-25,14.00584,18.15882
2019-10-26,21.12498,23.79868
2019-10-27,28.62265,32.92867
2019-10-28,33.90888,38.08801
2019-10-29,30.82746,35.4409
2019-10-30,36.90397,44.21682
2019-10-31,27.02882,29.86848
2019-11-01,22.586,27.59231
2019-11-02,25.18262,28.39318
2019-11-03,25.56116,30.94756
2019-11-04,24.83065,30.17197
2019-11-05,26.40456,34.08362
2019-11-06,29.85788,38.17231
2019-11-07,41.20733,45.90288
2019-11-08,72.82507,82.09408
2019-11-09,54.78151,62.35036
2019-11-10,59.58958,63.40414
2019-11-11,52.43724,54.41746
2019-11-12,47.17093,51.05378
2019-11-13,63.44136,66.44747
2019-11-14,100,100
2019-11-15,77.27453,81.34378
2019-11-16,57.65705,60.1079
2019-11-17,59.71576,63.81723
2019-11-18,79.06096,76.60596
2019-11-19,97.85496,91.57814
2019-11-20,80.46221,80.36587
2019-11-21,59.33722,61.16169
2019-11-22,40.68269,44.34328
